CMDLINE /Users/macbookair/Documents/Programming/oneredboxng/venv/bin/python3 app.py
MEM 0.296875 1680699713.7000
MEM 28.703125 1680699713.8051
MEM 39.218750 1680699713.9103
MEM 39.218750 1680699714.0115
MEM 39.218750 1680699714.1166
MEM 39.218750 1680699714.2221
MEM 39.218750 1680699714.3265
MEM 39.218750 1680699714.4305
MEM 39.218750 1680699714.5356
MEM 39.218750 1680699714.6410
MEM 39.218750 1680699714.7424
MEM 39.218750 1680699714.8465
MEM 39.218750 1680699714.9513
MEM 39.218750 1680699715.0565
MEM 39.218750 1680699715.1616
MEM 39.218750 1680699715.2668
MEM 39.218750 1680699715.3719
MEM 39.218750 1680699715.4728
MEM 39.218750 1680699715.5781
MEM 39.218750 1680699715.6811
MEM 39.218750 1680699715.7864
MEM 39.218750 1680699715.8891
MEM 39.218750 1680699715.9893
MEM 39.218750 1680699716.0946
MEM 39.218750 1680699716.1999
MEM 39.218750 1680699716.3024
MEM 39.218750 1680699716.4079
MEM 39.218750 1680699716.5128
MEM 39.218750 1680699716.6182
MEM 39.218750 1680699716.7235
MEM 39.218750 1680699716.8241
MEM 39.218750 1680699716.9251
MEM 39.218750 1680699717.0290
MEM 39.218750 1680699717.1317
MEM 39.218750 1680699717.2371
MEM 39.218750 1680699717.3423
MEM 39.218750 1680699717.4477
MEM 39.218750 1680699717.5504
MEM 39.218750 1680699717.6546
MEM 39.218750 1680699717.7590
MEM 39.218750 1680699717.8596
MEM 39.218750 1680699717.9642
MEM 39.218750 1680699718.0665
MEM 39.218750 1680699718.1717
MEM 39.218750 1680699718.2771
MEM 39.218750 1680699718.3825
MEM 39.218750 1680699718.4864
MEM 39.218750 1680699718.5918
MEM 39.218750 1680699718.6972
MEM 39.218750 1680699718.7989
MEM 39.218750 1680699718.9030
MEM 39.218750 1680699719.0045
MEM 39.218750 1680699719.1068
MEM 39.218750 1680699719.2117
MEM 39.218750 1680699719.3139
MEM 39.218750 1680699719.4153
MEM 39.218750 1680699719.5171
MEM 39.218750 1680699719.6219
MEM 39.218750 1680699719.7250
MEM 39.218750 1680699719.8309
MEM 39.218750 1680699719.9344
MEM 39.218750 1680699720.0387
MEM 39.218750 1680699720.1431
MEM 39.218750 1680699720.2464
MEM 39.218750 1680699720.3468
MEM 39.218750 1680699720.4520
MEM 39.218750 1680699720.5571
MEM 39.218750 1680699720.6618
MEM 39.218750 1680699720.7661
MEM 39.218750 1680699720.8706
MEM 39.218750 1680699720.9742
MEM 39.218750 1680699721.0794
MEM 39.218750 1680699721.1818
MEM 39.218750 1680699721.2876
MEM 39.218750 1680699721.3909
MEM 39.218750 1680699721.4939
MEM 39.218750 1680699721.5984
MEM 39.218750 1680699721.7029
MEM 39.218750 1680699721.8076
MEM 39.218750 1680699721.9120
MEM 39.218750 1680699722.0149
MEM 39.218750 1680699722.1186
MEM 39.218750 1680699722.2240
MEM 39.218750 1680699722.3266
MEM 39.218750 1680699722.4321
MEM 39.218750 1680699722.5344
MEM 39.218750 1680699722.6363
MEM 39.218750 1680699722.7412
MEM 39.218750 1680699722.8463
MEM 39.218750 1680699722.9514
MEM 39.218750 1680699723.0545
MEM 39.218750 1680699723.1569
MEM 39.218750 1680699723.2622
MEM 39.218750 1680699723.3665
MEM 39.218750 1680699723.4708
MEM 39.218750 1680699723.5759
MEM 39.218750 1680699723.6800
MEM 39.218750 1680699723.7808
MEM 39.218750 1680699723.8825
MEM 39.218750 1680699723.9865
MEM 39.218750 1680699724.0904
MEM 39.218750 1680699724.1915
MEM 39.218750 1680699724.2967
MEM 39.218750 1680699724.4011
MEM 39.218750 1680699724.5065
MEM 39.218750 1680699724.6123
MEM 39.218750 1680699724.7173
MEM 39.218750 1680699724.8232
MEM 39.218750 1680699724.9270
MEM 39.218750 1680699725.0306
MEM 39.218750 1680699725.1349
MEM 39.218750 1680699725.2372
MEM 39.218750 1680699725.3377
MEM 39.218750 1680699725.4431
MEM 39.218750 1680699725.5483
MEM 39.218750 1680699725.6523
MEM 39.218750 1680699725.7571
MEM 39.218750 1680699725.8599
MEM 39.218750 1680699725.9652
MEM 39.218750 1680699726.0686
MEM 39.218750 1680699726.1723
MEM 39.218750 1680699726.2736
MEM 39.218750 1680699726.3784
MEM 39.218750 1680699726.4813
MEM 39.218750 1680699726.5864
MEM 39.218750 1680699726.6889
MEM 39.218750 1680699726.7931
MEM 39.218750 1680699726.8946
MEM 39.218750 1680699726.9950
MEM 39.218750 1680699727.0996
MEM 39.218750 1680699727.2044
MEM 39.218750 1680699727.3066
MEM 39.218750 1680699727.4108
MEM 39.218750 1680699727.5133
MEM 39.218750 1680699727.6176
MEM 39.218750 1680699727.7224
MEM 39.218750 1680699727.8269
MEM 39.218750 1680699727.9306
MEM 39.218750 1680699728.0362
MEM 39.218750 1680699728.1397
MEM 39.218750 1680699728.2433
MEM 39.218750 1680699728.3471
MEM 39.218750 1680699728.4524
MEM 39.218750 1680699728.5577
MEM 39.218750 1680699728.6625
MEM 39.218750 1680699728.7665
MEM 39.218750 1680699728.8719
MEM 39.218750 1680699728.9738
MEM 39.218750 1680699729.0785
MEM 39.218750 1680699729.1831
MEM 39.218750 1680699729.2875
MEM 39.218750 1680699729.3909
MEM 39.218750 1680699729.4938
MEM 39.218750 1680699729.5985
MEM 39.218750 1680699729.7025
MEM 39.218750 1680699729.8062
MEM 39.218750 1680699729.9113
MEM 39.218750 1680699730.0143
MEM 39.218750 1680699730.1181
MEM 39.218750 1680699730.2224
MEM 39.218750 1680699730.4523
MEM 39.218750 1680699730.5548
MEM 39.218750 1680699730.6599
MEM 39.218750 1680699730.7620
MEM 39.218750 1680699730.8679
MEM 39.218750 1680699730.9711
MEM 39.218750 1680699731.0740
MEM 39.218750 1680699731.1795
MEM 39.218750 1680699731.2858
MEM 39.218750 1680699731.3915
MEM 39.218750 1680699731.4927
MEM 39.218750 1680699731.5975
MEM 39.218750 1680699731.7003
MEM 39.218750 1680699731.8057
MEM 39.218750 1680699731.9097
MEM 39.218750 1680699732.0113
MEM 39.218750 1680699732.1153
MEM 39.218750 1680699732.2187
MEM 39.218750 1680699732.3240
MEM 39.218750 1680699732.4247
MEM 39.218750 1680699732.5299
MEM 39.218750 1680699732.6353
MEM 39.218750 1680699732.7378
MEM 39.218750 1680699732.8414
MEM 39.218750 1680699732.9439
MEM 39.218750 1680699733.0462
MEM 39.218750 1680699733.1508
MEM 39.218750 1680699733.2549
MEM 39.218750 1680699733.3591
MEM 39.218750 1680699733.4646
MEM 39.218750 1680699733.5656
MEM 39.218750 1680699733.6705
MEM 39.218750 1680699733.7724
MEM 39.218750 1680699733.8780
MEM 39.218750 1680699733.9835
MEM 39.218750 1680699734.0873
MEM 39.218750 1680699734.1896
MEM 39.218750 1680699734.2941
MEM 39.218750 1680699734.3963
MEM 39.218750 1680699734.5017
MEM 39.218750 1680699734.6058
MEM 39.218750 1680699734.7112
MEM 39.218750 1680699734.8133
MEM 39.218750 1680699734.9183
MEM 39.218750 1680699735.0220
MEM 39.218750 1680699735.1271
MEM 39.218750 1680699735.2295
MEM 39.218750 1680699735.3348
MEM 39.218750 1680699735.4379
MEM 39.218750 1680699735.5395
MEM 39.218750 1680699735.6431
MEM 39.218750 1680699735.7458
MEM 39.218750 1680699735.8502
MEM 39.218750 1680699735.9539
MEM 39.218750 1680699736.0593
MEM 39.218750 1680699736.1624
MEM 39.218750 1680699736.2665
MEM 39.218750 1680699736.3676
MEM 39.218750 1680699736.4722
MEM 39.218750 1680699736.5747
MEM 39.218750 1680699736.6793
MEM 39.218750 1680699736.7834
MEM 39.218750 1680699736.8877
MEM 39.218750 1680699736.9917
MEM 39.218750 1680699737.0955
MEM 39.218750 1680699737.1997
MEM 39.218750 1680699737.3041
MEM 39.218750 1680699737.4080
MEM 39.218750 1680699737.5134
MEM 39.218750 1680699737.6177
MEM 39.218750 1680699737.7202
MEM 39.218750 1680699737.8247
MEM 39.218750 1680699737.9271
MEM 39.218750 1680699738.0318
MEM 39.218750 1680699738.1372
MEM 39.218750 1680699738.2414
MEM 39.218750 1680699738.3428
MEM 39.218750 1680699738.4471
MEM 39.218750 1680699738.5517
MEM 39.218750 1680699738.6557
MEM 39.218750 1680699738.7599
MEM 39.218750 1680699738.8609
MEM 39.218750 1680699738.9664
MEM 39.218750 1680699739.0716
MEM 39.218750 1680699739.1747
MEM 39.218750 1680699739.2795
MEM 39.218750 1680699739.3816
MEM 39.218750 1680699739.4862
MEM 39.218750 1680699739.5914
MEM 39.218750 1680699739.6956
MEM 39.218750 1680699739.8009
MEM 39.218750 1680699739.9063
MEM 39.218750 1680699740.0067
MEM 39.218750 1680699740.1113
MEM 39.218750 1680699740.2164
MEM 39.218750 1680699740.3186
MEM 39.218750 1680699740.4218
MEM 39.218750 1680699740.5257
MEM 39.218750 1680699740.6285
MEM 39.218750 1680699740.7308
MEM 39.218750 1680699740.8355
MEM 39.218750 1680699740.9381
MEM 39.218750 1680699741.0415
MEM 39.218750 1680699741.1448
MEM 39.218750 1680699741.2454
MEM 39.218750 1680699741.3501
MEM 39.218750 1680699741.4520
MEM 39.218750 1680699741.5549
MEM 39.218750 1680699741.6604
MEM 39.218750 1680699741.7621
MEM 39.218750 1680699741.8676
MEM 39.218750 1680699741.9732
MEM 39.218750 1680699742.0787
MEM 39.218750 1680699742.1842
MEM 39.218750 1680699742.2867
MEM 39.218750 1680699742.3919
MEM 39.218750 1680699742.4953
MEM 39.218750 1680699742.6008
MEM 39.218750 1680699742.7038
MEM 39.218750 1680699742.8043
MEM 39.218750 1680699742.9099
MEM 39.218750 1680699743.0138
MEM 39.218750 1680699743.1192
MEM 39.218750 1680699743.2249
MEM 39.218750 1680699743.3273
MEM 39.218750 1680699743.4301
MEM 39.218750 1680699743.5315
MEM 39.218750 1680699743.6329
MEM 39.218750 1680699743.7384
MEM 39.218750 1680699743.8435
MEM 39.218750 1680699743.9459
MEM 39.218750 1680699744.0467
MEM 39.218750 1680699744.1507
MEM 39.218750 1680699744.2560
MEM 39.218750 1680699744.3614
MEM 39.218750 1680699744.4628
MEM 39.218750 1680699744.5670
MEM 39.218750 1680699744.6694
MEM 39.218750 1680699744.7750
MEM 39.218750 1680699744.8809
MEM 39.218750 1680699744.9824
MEM 39.218750 1680699745.0877
MEM 39.218750 1680699745.1922
MEM 39.218750 1680699745.2940
MEM 39.218750 1680699745.3967
MEM 39.218750 1680699745.4988
MEM 39.218750 1680699745.6045
MEM 39.218750 1680699745.7082
MEM 39.218750 1680699745.8135
MEM 39.218750 1680699745.9191
MEM 39.218750 1680699746.0228
